# Patterns of the multi-tenant web hosting profiles cageweb, cagebash,
# cagedash and docker-hosted that contain an AppArmor variable or an
# pkg/sentry/confine's reference corpus covers the patterns with neither,
# so those are not repeated here.
#
# Columns, tab separated:
#   1. the pattern as the profile writes it
#   2. the pattern with its variables replaced, as the parser reports it
#   3. the regexp the parser compiles it to
#
# The variables are @{PROC}, defined as /proc/ by tunables/proc, which
# tunables/global includes, and @{WWW_DIRS}, defined by the profiles
# themselves. The test defines both itself, with the same values: it has
# no host policy to read them from.
#
# Generated with apparmor_parser 4.0.1, one pattern at a time, so that
# the dumped rules cannot be confused for one another: the parser dumps
# them sorted by pattern rather than in the order they were written. For
# each pattern in the first column, write /tmp/refprofile, replacing
# PATTERN with the pattern:
#
#	#include <tunables/global>
#
#	@{WWW_DIRS} = /var/www/vhosts /mnt/nfs01/siteroots
#
#	profile refprofile flags=(attach_disconnected, mediate_deleted) {
#	  PATTERN r,
#	}
#
# and dump what it compiles to:
#
#	apparmor_parser -QT --dump=rule-exprs /tmp/refprofile 2>&1 | grep '^aare: '
#
# The dump writes "aare: <pattern>   ->   <regexp>", which supplies the
# second and third columns. The profile name produces an "aare:" line of
# its own, "aare: refprofile   ->   refprofile", which is not a pattern
# and is not recorded.
/sys/kernel/debug/{,**}	/sys/kernel/debug/{,**}	/sys/kernel/debug/(|[^\x00]*)
@{PROC}/	/proc/	/proc/
@{PROC}/*	/proc/*	/proc/[^/\x00][^/\x00]*
@{PROC}/*/auxv	/proc/*/auxv	/proc/[^/\x00][^/\x00]*/auxv
@{PROC}/*/cmdline	/proc/*/cmdline	/proc/[^/\x00][^/\x00]*/cmdline
@{PROC}/*/fd/	/proc/*/fd/	/proc/[^/\x00][^/\x00]*/fd/
@{PROC}/*/loginuid	/proc/*/loginuid	/proc/[^/\x00][^/\x00]*/loginuid
@{PROC}/*/maps	/proc/*/maps	/proc/[^/\x00][^/\x00]*/maps
@{PROC}/*/mounts	/proc/*/mounts	/proc/[^/\x00][^/\x00]*/mounts
@{PROC}/*/stat	/proc/*/stat	/proc/[^/\x00][^/\x00]*/stat
@{PROC}/*/status	/proc/*/status	/proc/[^/\x00][^/\x00]*/status
@{PROC}/bus/**	/proc/bus/**	/proc/bus/[^/\x00][^\x00]*
@{PROC}/filesystems	/proc/filesystems	/proc/filesystems
@{PROC}/kcore	/proc/kcore	/proc/kcore
@{PROC}/kmem	/proc/kmem	/proc/kmem
@{PROC}/loadavg	/proc/loadavg	/proc/loadavg
@{PROC}/mem	/proc/mem	/proc/mem
@{PROC}/sys/[^k]**	/proc/sys/[^k]**	/proc/sys/[^k][^\x00]*
@{PROC}/sys/fs/**	/proc/sys/fs/**	/proc/sys/fs/[^/\x00][^\x00]*
@{PROC}/sys/kernel/osrelease	/proc/sys/kernel/osrelease	/proc/sys/kernel/osrelease
@{PROC}/sys/kernel/pid_max	/proc/sys/kernel/pid_max	/proc/sys/kernel/pid_max
@{PROC}/sys/kernel/{?,??,[^s][^h][^m]**}	/proc/sys/kernel/{?,??,[^s][^h][^m]**}	/proc/sys/kernel/([^/\x00]|[^/\x00][^/\x00]|[^s][^h][^m][^\x00]*)
@{PROC}/sysrq-trigger	/proc/sysrq-trigger	/proc/sysrq-trigger
@{PROC}/tty/drivers	/proc/tty/drivers	/proc/tty/drivers
@{PROC}/uptime	/proc/uptime	/proc/uptime
@{PROC}/version	/proc/version	/proc/version
@{PROC}/{[^1-9],[^1-9][^0-9],[^1-9s][^0-9y][^0-9s],[^1-9][^0-9][^0-9][^0-9]*}/**	/proc/{[^1-9],[^1-9][^0-9],[^1-9s][^0-9y][^0-9s],[^1-9][^0-9][^0-9][^0-9]*}/**	/proc/([^1-9]|[^1-9][^0-9]|[^1-9s][^0-9y][^0-9s]|[^1-9][^0-9][^0-9][^0-9][^/\x00]*)/[^/\x00][^\x00]*
@{WWW_DIRS}/	{/var/www/vhosts,/mnt/nfs01/siteroots}/	(/var/www/vhosts|/mnt/nfs01/siteroots)/
@{WWW_DIRS}/.STAGING/**	{/var/www/vhosts,/mnt/nfs01/siteroots}/.STAGING/**	(/var/www/vhosts|/mnt/nfs01/siteroots)/\.STAGING/[^/\x00][^\x00]*
@{WWW_DIRS}/?/	{/var/www/vhosts,/mnt/nfs01/siteroots}/?/	(/var/www/vhosts|/mnt/nfs01/siteroots)/[^/\x00]/
@{WWW_DIRS}/?/?/	{/var/www/vhosts,/mnt/nfs01/siteroots}/?/?/	(/var/www/vhosts|/mnt/nfs01/siteroots)/[^/\x00]/[^/\x00]/
@{WWW_DIRS}/?/?/*/	{/var/www/vhosts,/mnt/nfs01/siteroots}/?/?/*/	(/var/www/vhosts|/mnt/nfs01/siteroots)/[^/\x00]/[^/\x00]/[^/\x00][^/\x00]*/
@{WWW_DIRS}/?/?/*/**	{/var/www/vhosts,/mnt/nfs01/siteroots}/?/?/*/**	(/var/www/vhosts|/mnt/nfs01/siteroots)/[^/\x00]/[^/\x00]/[^/\x00][^/\x00]*/[^/\x00][^\x00]*
